2 10 100 2.140000	0.091759 0.009566	0.991569 0.001789	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.150000	0.090758 0.008472	0.991753 0.001544	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.160000	0.088109 0.009698	0.992227 0.001710	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.170000	0.089306 0.009383	0.992013 0.001650	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.180000	0.088511 0.009990	0.992148 0.001770	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.190000	0.092335 0.009120	0.991463 0.001651	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.200000	0.093942 0.009524	0.991161 0.001800	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.210000	0.089075 0.006155	0.992062 0.001094	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.220000	0.093608 0.009136	0.991224 0.001716	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.230000	0.086754 0.009200	0.992461 0.001550	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.240000	0.090590 0.009605	0.991780 0.001757	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.250000	0.084477 0.009345	0.992851 0.001592	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.260000	0.088459 0.009822	0.992162 0.001776	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.270000	0.081565 0.009147	0.993336 0.001492	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.280000	0.089013 0.009295	0.992061 0.001646	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.290000	0.084975 0.009758	0.992762 0.001665	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
